modelo,hiperpar,ks_train,auc_train,ks_val,auc_val
GB,ntrees:400-learnr:0.002-intdepth:4,52.41694721463508,83.72715916068518,24.51048951048952,63.07692307692307
GB,ntrees:500-learnr:0.002-intdepth:2,45.46147494124373,79.4543606682335,26.689976689976692,62.156177156177165
GB,ntrees:400-learnr:0.006-intdepth:4,60.901141247962066,88.40542886785661,26.048951048951054,63.21678321678322
GB,ntrees:100-learnr:0.003-intdepth:4,49.3912638421309,81.38290739446809,25.08158508158509,62.65734265734266
GB,ntrees:400-learnr:0.009-intdepth:5,70.66632789176143,92.7960927960928,28.438228438228442,63.752913752913756
GB,ntrees:400-learnr:0.004-intdepth:5,60.93925342480255,88.44283526364451,26.946386946386948,62.913752913752916
GB,ntrees:100-learnr:0.01-intdepth:5,56.429312498676666,85.9740131416432,23.018648018648015,62.42424242424243
GB,ntrees:300-learnr:0.004-intdepth:3,51.182536153634416,82.88551525545745,23.613053613053616,63.18181818181819
GB,ntrees:100-learnr:0.009-intdepth:3,49.14141734950983,81.73579792076902,23.636363636363633,62.69230769230769
GB,ntrees:500-learnr:0.006-intdepth:4,63.57746299942831,89.58126010149131,26.095571095571092,63.92773892773893
GB,ntrees:500-learnr:0.01-intdepth:2,58.48737004806369,86.18433589531855,24.533799533799527,63.37995337995338
GB,ntrees:500-learnr:0.009-intdepth:3,62.711469647885835,89.30388814781878,26.923076923076927,63.56643356643357
GB,ntrees:400-learnr:0.001-intdepth:3,46.13479006542591,79.73067395032713,25.955710955710952,62.62237762237762
GB,ntrees:200-learnr:0.008-intdepth:5,59.97586228800101,87.82033637524968,24.650349650349657,62.400932400932405
GB,ntrees:200-learnr:0.009-intdepth:1,41.93609858349742,76.94530902623387,22.05128205128205,61.608391608391614
GB,ntrees:400-learnr:0.01-intdepth:2,56.31074128183955,85.06284980273419,25.361305361305362,63.04195804195805
GB,ntrees:500-learnr:0.008-intdepth:1,49.988354612632065,80.41634024292983,23.368298368298372,62.668997668997676
GB,ntrees:400-learnr:0.007-intdepth:5,66.17544305405578,91.32736242562832,28.41491841491841,62.90209790209791
