modelo,hiperpar,ks_train,auc_train,ks_val,auc_val
RF,ntrees:400-minobj:90-varstry:120,69.47002900760127,92.6069434739955,30.186480186480193,65.85081585081585
RF,ntrees:400-minobj:140-varstry:50,62.86391835524784,89.03427978572486,27.03962703962704,64.67365967365967
RF,ntrees:200-minobj:100-varstry:70,68.02600097397786,91.66896045508763,30.16317016317016,65.990675990676
RF,ntrees:500-minobj:80-varstry:130,71.97484596328528,93.66349770974048,30.967365967365968,66.2004662004662
RF,ntrees:200-minobj:110-varstry:120,66.11827478879502,90.8657816172267,30.92074592074592,65.86247086247087
RF,ntrees:100-minobj:150-varstry:120,61.0302991805882,88.28050562154608,30.16317016317016,65.71095571095572
RF,ntrees:300-minobj:100-varstry:60,68.31607698659722,91.73248074982179,27.843822843822842,65.53613053613053
RF,ntrees:200-minobj:140-varstry:130,62.28588367316691,89.11120992045848,31.701631701631705,65.36130536130537
RF,ntrees:300-minobj:50-varstry:60,83.48472336911644,96.65106890540417,32.45920745920746,66.07226107226107
RF,ntrees:100-minobj:60-varstry:70,80.68983040081305,95.7935449264929,33.97435897435898,67.3892773892774
RF,ntrees:400-minobj:50-varstry:150,82.88763259861526,96.69412154961287,31.701631701631705,65.66433566433567
RF,ntrees:100-minobj:130-varstry:70,63.71297296152788,89.69594952253912,28.694638694638698,65.31468531468532
RF,ntrees:300-minobj:140-varstry:110,62.36210802684792,89.0406318151983,28.694638694638698,64.83682983682984
RF,ntrees:300-minobj:150-varstry:70,61.0705287005865,88.172521120498,27.937062937062933,64.87179487179488
RF,ntrees:100-minobj:70-varstry:80,76.21800165152767,94.69746695180221,33.904428904428904,66.85314685314685
RF,ntrees:500-minobj:80-varstry:60,71.97484596328528,93.66349770974048,30.967365967365968,66.2004662004662
RF,ntrees:400-minobj:100-varstry:120,68.14245484765716,91.70777841298073,29.35897435897436,65.31468531468532
RF,ntrees:200-minobj:130-varstry:60,63.78919731520887,89.70053709938102,30.186480186480193,65.47785547785548
RF,ntrees:500-minobj:110-varstry:90,66.09921870037476,90.98929330143203,26.78321678321679,64.84848484848486
RF,ntrees:400-minobj:50-varstry:140,82.88763259861526,96.69412154961287,31.701631701631705,65.66433566433567
RF,ntrees:200-minobj:60-varstry:150,80.24730568083169,95.65238871597253,34.731934731934736,67.05128205128206
RF,ntrees:500-minobj:100-varstry:90,67.39079802663618,91.65696217719339,27.82051282051283,65.27972027972028
RF,ntrees:500-minobj:50-varstry:100,82.30959791653434,96.71458920013833,30.16317016317016,65.3962703962704
RF,ntrees:100-minobj:70-varstry:50,76.21800165152767,94.69746695180221,33.904428904428904,66.85314685314685
